#FF5733
#33FF57
#3357FF
#FF33A1
#A133FF
#33FFF5
#FFD133
#33FFA1
#FF8333
#8333FF
#33FF83
#FF3383
#FFB533
#33B5FF
#B533FF
#33FFB5
#FF33D1
#D133FF
#33FFD1
#FF3333
#33FF33
#3333FF
#FFFF33
#33FFFF
#FF33FF
#999999
#555555
#111111
#DDDDDD
#AAAAAA
#777777
#444444
#222222
#E6E6FA
#FFF0F5
#FFDAB9
#FFE4B5
#FFDEAD
#F0E68C
#FFFACD
#FAFAD2
#FFEFD5
#FFEBCD
#FFE4C4
#F5DEB3
#FFF8DC
#FAEBD7
#FDF5E6
#FFFFF0
#F0FFF0
#F5FFFA
#F0FFFF
#F0F8FF
#E0FFFF
#E6FFE6
#E6E6FF
#FFE6E6
#E6FFE6
#E6FFFF
#FFE6FF
#FFCCCC
#CCFFCC
#CCCCFF
#FFFFCC
#CCFFFF
#FFCCFF
#FF9999
#99FF99
#9999FF
#FFFF99
#99FFFF
#FF99FF
#FF6666
#66FF66
#6666FF
#FFFF66
#66FFFF
#FF66FF
#FF3333
#33FF33
#3333FF
#FFFF33
#33FFFF
#FF33FF
#FF0000
#00FF00
#0000FF
#FFFF00
#00FFFF
#FF00FF
#800000
#008000
#000080
#808000
#008080
#800080
#C00000
#00C000
#0000C0
#C0C000
#00C0C0
#C000C0
#FF4500
#FF8C00
#FFA500
#FFD700
#ADFF2F
#7FFF00
#7CFC00
#00FF7F
#20B2AA
#40E0D0
#00CED1
#4682B4
#5F9EA0
#6495ED
#4169E1
#0000CD
#00008B
#191970
#4B0082
#8A2BE2
#9932CC
#9400D3
#BA55D3
#D8BFD8
#EE82EE
#DA70D6
#C71585
#DB7093
#FF1493
#FF69B4
#FFB6C1
#FFC0CB
#CD5C5C
#DC143C
#B22222
#8B0000
#A52A2A
#DEB887
#D2B48C
#BC8F8F
#F4A460
#DAA520
#B8860B
#FFD700
#F0E68C
#EEE8AA
#BDB76B
#6B8E23
#556B2F
#808000
#9ACD32
#32CD32
#228B22
#006400
#2E8B57
#3CB371
#8FBC8F
#66CDAA
#8B008B
#6A5ACD
#483D8B
#2F4F4F
#696969
#708090
#778899
#A9A9A9
#C0C0C0
#D3D3D3
#F5F5F5
#FFFFFF
#000000
#FA8072
#E9967A
#F08080
#FF7F50
#FF6347
#FF4500
#FF8C69
#FFA07A
#FFDAB9
#FFE4B5
#FFEBCD
#FAF0E6
#F5F5DC
#FFF5EE
#F0FFF0
#F5FFFA
#F0FFFF
#F0F8FF
#E6E6FA
#FFF0F5
#FFE4E1
#FAEBD7
#FFF8DC
#FFFAF0
#FDF5E6
#FFFFF0
#FFFACD
#FAFAD2
#FFEFD5
#FFF8E1
#FFF3E0
#FFE0B2
#FFCC80
#FFB74D
#FFA726
#FF9800
#FB8C00
#F57C00
#EF6C00
#E65100
#FFD54F
#FFCA28
#FFC107
#FFB300
#FFA000
#FF8F00
#FF6F00
#FFD600
#FFEA00
#FFFF00
#FFEE58
#FFEB3B
#FDD835
#FBC02D
#F9A825
#F57F17
